epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.25942,3.80121,36.7896,2.89996,0.00037,0.11111,0.00024,0.00017,2.79824,26.4274,2.0783,4e-05,4e-05,4e-05
2,8.50481,3.87207,18.7293,2.0018,0.00037,0.11111,0.00037,0.0003,2.51653,22.2091,1.95938,9.835e-05,9.835e-05,9.835e-05
3,9.67262,3.53666,28.4377,2.14276,0.00074,0.22222,0.00055,0.00031,2.62127,17.5755,2.05504,0.00015472,0.00015472,0.00015472
4,11.0261,3.06016,16.5815,1.85663,0.00646,0.44444,0.00552,0.00155,2.39397,13.2272,2.084,0.00020911,0.00020911,0.00020911
5,12.4038,1.99548,8.44772,1.44827,0.95966,0.55556,0.59069,0.21562,2.12996,13.2429,1.18725,0.00026152,0.00026152,0.00026152
6,13.6302,1.77605,4.83216,1.13392,0.44875,0.72553,0.54634,0.24053,1.66919,11.8225,1.0696,0.00031195,0.00031195,0.00031195
7,14.9077,1.46963,4.1446,1.15646,0.51305,0.66667,0.55856,0.15539,1.91713,10.816,1.11194,0.0003604,0.0003604,0.0003604
8,16.0642,1.3645,3.95241,1.08644,0.8168,0.66667,0.74157,0.25807,1.63555,8.00798,1.0663,0.00040687,0.00040687,0.00040687
9,17.3143,1.21171,3.16253,1.12556,0.0455,0.88889,0.0442,0.02231,1.52194,13.956,1.11636,0.00045136,0.00045136,0.00045136
10,18.533,1.4166,2.72203,1.05037,0.00383,0.22222,0.00327,0.0015,1.80904,17.8283,1.25599,0.00049387,0.00049387,0.00049387
11,19.7535,1.40918,2.29944,1.12511,0.02661,1,0.02889,0.01458,1.64345,30.5246,1.21709,0.0005344,0.0005344,0.0005344
12,20.9669,1.77861,2.16834,1.09724,0.00682,0.33333,0.01068,0.00605,1.6225,38.2984,1.19611,0.00057295,0.00057295,0.00057295
13,22.1454,1.58068,2.09561,1.22915,0.01894,0.77778,0.0152,0.00669,1.79676,29.2433,1.29939,0.00060952,0.00060952,0.00060952
14,23.3268,1.56619,2.01417,1.20657,0.00314,0.11111,0.00847,0.00451,1.51258,27.8693,1.21728,0.00064411,0.00064411,0.00064411
15,24.5353,1.31412,1.47281,1.11076,0.00978,0.33333,0.01814,0.00919,1.55685,22.0342,1.22897,0.00067672,0.00067672,0.00067672
16,25.6658,1.5483,1.27516,1.03831,0.00337,0.11111,0.00869,0.00397,1.52941,19.597,1.24626,0.00070735,0.00070735,0.00070735
17,26.8342,1.2102,1.15835,1.20357,0.00074,0.22222,0.0009,0.00053,1.83193,19.7202,1.40619,0.000736,0.000736,0.000736
18,27.9801,1.69983,1.40301,1.06072,0.00185,0.55556,0.00538,0.00315,1.83204,12.3365,1.35914,0.00076267,0.00076267,0.00076267
19,29.1444,1.50664,1.27148,1.11844,0.01695,0.33333,0.0108,0.00531,2.51154,5.66001,1.62536,0.00078736,0.00078736,0.00078736
20,30.2857,1.27337,1.2672,1.09305,0.07791,0.22222,0.02556,0.01328,2.72588,6.36917,1.97165,0.00081007,0.00081007,0.00081007
21,31.4559,1.61497,1.26055,1.18084,0.07129,0.11111,0.04548,0.01866,2.26651,5.70285,1.66508,0.0008308,0.0008308,0.0008308
22,32.5917,0.87724,1.54091,0.68293,0.08056,0.33333,0.03104,0.01751,2.25201,12.5821,1.73239,0.00084955,0.00084955,0.00084955
23,33.7511,1.32532,1.13956,1.25986,0.08478,0.22222,0.02111,0.01037,2.47754,5.43495,1.84272,0.00086632,0.00086632,0.00086632
24,34.8708,1.28526,1.02916,0.8948,0.04491,0.11111,0.01315,0.00263,3.15779,4.22801,2.73326,0.00088111,0.00088111,0.00088111
25,36.0066,1.25819,1.18732,1.15012,0.00052,0.11111,0.00158,0.00142,4.09359,25.0044,4.0638,0.00089392,0.00089392,0.00089392
26,37.1051,0.80046,1.88953,0.70137,0,0,0,0,4.55932,86.0649,4.31643,0.00090475,0.00090475,0.00090475
27,38.2245,0.96648,1.19414,0.73212,0.00081,0.22222,0.0008,0.00043,2.5842,271.254,2.34953,0.0009136,0.0009136,0.0009136
28,39.3855,1.51217,1.1076,1.09771,0.00985,0.44444,0.01326,0.00457,2.05102,142.811,1.99811,0.00092047,0.00092047,0.00092047
29,40.4724,1.3421,0.96281,0.97919,0.00985,0.44444,0.01326,0.00457,2.05102,142.811,1.99811,0.00092536,0.00092536,0.00092536
30,41.5848,1.1363,0.83314,1.14038,0.02321,0.86588,0.02649,0.01323,1.56788,59.9951,1.48696,0.00092827,0.00092827,0.00092827
31,42.724,1.34891,0.99542,1.04416,0.02596,0.88889,0.02843,0.01356,1.71316,19.5539,1.33862,0.0009292,0.0009292,0.0009292
32,43.867,1.05989,1.01506,1.07171,0.04241,1,0.04433,0.02127,1.56357,12.1193,1.19109,0.00092815,0.00092815,0.00092815
33,44.9798,1.56506,1.12779,1.26569,0.04241,1,0.04433,0.02127,1.56357,12.1193,1.19109,0.00092512,0.00092512,0.00092512
34,46.1339,1.25905,0.85417,1.12338,0.15245,1,0.15991,0.09273,1.38767,4.23116,1.17736,0.000911,0.000911,0.000911
35,47.286,1.27697,0.9342,1.11719,0.27095,1,0.27414,0.15778,1.38764,2.06933,1.18586,0.000878,0.000878,0.000878
36,48.4176,1.02893,0.98919,1.1674,0.44174,0.88889,0.48554,0.28279,1.46559,1.29277,1.18805,0.000845,0.000845,0.000845
37,49.5515,1.16402,0.87058,1.00876,0.44174,0.88889,0.48554,0.28279,1.46559,1.29277,1.18805,0.000812,0.000812,0.000812
38,50.7092,1.21288,0.85174,1.07554,0.72442,1,0.74625,0.43909,1.36398,0.86387,1.15436,0.000779,0.000779,0.000779
39,51.8891,0.98869,0.96912,0.96844,0.98385,1,0.995,0.57405,1.3587,0.80114,1.15486,0.000746,0.000746,0.000746
40,53.0605,1.08415,0.82644,1.00518,0.9719,1,0.995,0.61108,1.45181,0.83208,1.22097,0.000713,0.000713,0.000713
41,54.2062,1.0778,0.78591,1.0353,0.9719,1,0.995,0.61108,1.45181,0.83208,1.22097,0.00068,0.00068,0.00068
42,55.3718,1.13276,0.88544,1.05574,0.98613,1,0.995,0.56143,1.47303,0.68937,1.19275,0.000647,0.000647,0.000647
43,56.4915,1.17749,0.79567,1.02886,0.99206,1,0.995,0.63775,1.25828,0.65943,1.10719,0.000614,0.000614,0.000614
44,57.673,1.09152,0.76015,1.00152,0.99719,1,0.995,0.67596,1.19351,0.65048,1.11826,0.000581,0.000581,0.000581
45,58.808,0.69485,0.87594,0.69689,0.99719,1,0.995,0.67596,1.19351,0.65048,1.11826,0.000548,0.000548,0.000548
46,59.9853,0.95325,1.02317,1.15542,0.99214,1,0.995,0.70551,1.07068,0.60775,1.05666,0.000515,0.000515,0.000515
47,61.1807,1.00405,0.85616,0.96664,0.96662,1,0.995,0.65249,1.0664,0.63317,1.02406,0.000482,0.000482,0.000482
48,62.3397,1.08366,0.73385,0.95727,1,0.9886,0.995,0.70166,1.07091,0.67416,1.03246,0.000449,0.000449,0.000449
49,63.5099,0.99726,0.68288,0.92553,1,0.9886,0.995,0.70166,1.07091,0.67416,1.03246,0.000416,0.000416,0.000416
50,64.6483,0.93058,0.70248,0.98788,0.98646,0.88889,0.975,0.68314,1.03848,0.72668,1.03048,0.000383,0.000383,0.000383
51,69.2762,1.03829,0.86753,1.0672,0.992,0.88889,0.975,0.69056,1.1193,0.80856,1.05786,0.00035,0.00035,0.00035
52,70.4438,1.25716,0.7376,0.99427,0.98538,0.88889,0.975,0.67376,1.18053,0.80991,1.09065,0.000317,0.000317,0.000317
53,71.5837,0.71255,0.71641,0.70381,0.98538,0.88889,0.975,0.67376,1.18053,0.80991,1.09065,0.000284,0.000284,0.000284
54,72.8248,0.95387,0.76294,0.98094,0.9962,1,0.995,0.73188,1.14428,0.71419,1.07008,0.000251,0.000251,0.000251
55,74.0938,0.95965,0.8313,1.02263,0.99028,1,0.995,0.72602,1.10377,0.64129,1.0526,0.000218,0.000218,0.000218
56,75.3247,0.95029,0.68105,1.03424,0.98972,1,0.995,0.74674,1.01636,0.59598,1.04336,0.000185,0.000185,0.000185
57,76.5175,0.65556,0.85232,0.73551,0.98972,1,0.995,0.74674,1.01636,0.59598,1.04336,0.000152,0.000152,0.000152
58,77.741,0.8702,0.62215,0.97744,0.9907,1,0.995,0.76958,0.9655,0.56848,1.03201,0.000119,0.000119,0.000119
59,78.9363,1.13603,0.7813,1.1282,0.99084,1,0.995,0.7941,0.9098,0.55665,1.02168,8.6e-05,8.6e-05,8.6e-05
60,80.1827,1.01322,0.69198,1.0602,0.99132,1,0.995,0.80119,0.89156,0.53945,1.00837,5.3e-05,5.3e-05,5.3e-05
