epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98039,2.77403,4.6691,1.82362,0.00551,0.11183,0.00584,0.00131,2.50482,4.37541,1.93497,2.856e-05,2.856e-05,2.856e-05
2,6.20074,2.68918,4.56462,1.80729,0.22939,0.07525,0.02437,0.00861,2.11604,4.1685,1.73165,6.31997e-05,6.31997e-05,6.31997e-05
3,8.25023,1.7387,3.1988,1.24444,0.1045,0.43438,0.17366,0.11586,1.38951,2.78075,1.17528,9.66613e-05,9.66613e-05,9.66613e-05
4,10.1725,1.33806,2.23986,1.0741,0.32472,0.50863,0.37053,0.23479,1.33159,2.90084,1.14747,0.000128945,0.000128945,0.000128945
5,12.0954,1.27048,1.88035,1.05921,0.41144,0.61077,0.55127,0.3819,1.15667,2.69731,1.06238,0.00016005,0.00016005,0.00016005
6,13.9832,1.22463,1.59874,1.0298,0.56515,0.54516,0.61363,0.41881,1.20006,2.1361,1.11004,0.000189978,0.000189978,0.000189978
7,15.8928,1.14199,1.36492,1.02989,0.73157,0.72739,0.76012,0.52893,1.14268,1.49308,1.04362,0.000218727,0.000218727,0.000218727
8,17.8041,1.13402,1.21385,1.032,0.80312,0.79864,0.88532,0.62298,1.10692,1.27996,1.04741,0.000246298,0.000246298,0.000246298
9,19.6709,1.0907,1.06877,1.00591,0.83096,0.85006,0.92967,0.64977,1.1153,1.06236,1.06322,0.000272691,0.000272691,0.000272691
10,21.5289,1.06164,0.98636,1.01213,0.88474,0.84962,0.94417,0.67258,1.08372,0.93229,1.02724,0.000297906,0.000297906,0.000297906
11,23.4404,1.0852,0.9708,1.00116,0.84835,0.89733,0.95985,0.69469,1.06574,0.89658,1.04508,0.000321943,0.000321943,0.000321943
12,25.2936,1.02775,0.85421,0.97362,0.8937,0.92854,0.96777,0.69646,1.05563,0.83289,1.02898,0.000344801,0.000344801,0.000344801
13,27.1698,1.03988,0.80371,0.9984,0.92021,0.91923,0.96658,0.67045,1.13693,0.9057,1.04544,0.000366482,0.000366482,0.000366482
14,29.0384,1.03024,0.8016,0.99198,0.93149,0.95799,0.97982,0.72042,0.99706,0.74736,1.032,0.000386984,0.000386984,0.000386984
15,30.9321,1.02391,0.75657,1.01124,0.95206,0.9537,0.98203,0.71724,1.00676,0.68369,1.02965,0.000406309,0.000406309,0.000406309
16,32.7302,1.04071,0.73019,1.01376,0.95913,0.95777,0.98401,0.72587,0.97631,0.70451,1.02367,0.000424455,0.000424455,0.000424455
17,34.5773,0.96297,0.69199,0.9737,0.9592,0.95767,0.98469,0.71612,1.00868,0.67314,1.03975,0.000441423,0.000441423,0.000441423
18,36.4563,0.96639,0.67502,0.96876,0.97001,0.94989,0.9827,0.66875,1.15348,0.66456,1.13082,0.000457213,0.000457213,0.000457213
19,38.2779,0.99032,0.65566,0.97865,0.97541,0.96123,0.98229,0.68532,1.0976,0.66604,1.10291,0.000471825,0.000471825,0.000471825
20,40.1346,1.0143,0.64297,0.96189,0.96231,0.96155,0.98502,0.72667,0.97515,0.65384,1.00858,0.000485259,0.000485259,0.000485259
21,41.9647,0.97884,0.65671,0.97522,0.96895,0.9498,0.98731,0.71607,1.00466,0.60043,1.03897,0.00047838,0.00047838,0.00047838
22,43.7446,0.98193,0.65257,0.98972,0.96714,0.97372,0.98908,0.71296,1.00256,0.54735,1.04644,0.000466599,0.000466599,0.000466599
23,45.5767,0.97789,0.62478,0.97834,0.98441,0.96914,0.99055,0.72735,0.99172,0.54441,1.03824,0.000454818,0.000454818,0.000454818
24,47.4386,1.05785,0.69192,0.9994,0.98868,0.96263,0.99309,0.72382,1.02352,0.57271,1.06047,0.000443037,0.000443037,0.000443037
25,49.2075,0.95828,0.6218,0.9658,0.99048,0.96401,0.99327,0.73133,0.98105,0.52646,1.02708,0.000431256,0.000431256,0.000431256
26,51.0607,0.96413,0.59463,0.98592,0.98697,0.97294,0.99341,0.74829,0.95241,0.5081,1.00235,0.000419475,0.000419475,0.000419475
27,52.913,0.94319,0.57528,0.97913,0.97783,0.97627,0.9911,0.7169,1.03653,0.5184,1.03345,0.000407694,0.000407694,0.000407694
28,54.7288,0.95992,0.587,0.96783,0.97849,0.98803,0.99179,0.73881,0.98276,0.5028,1.03481,0.000395913,0.000395913,0.000395913
29,56.5044,0.94655,0.55406,0.95941,0.97929,0.9843,0.9938,0.72854,1.01729,0.49668,1.06307,0.000384132,0.000384132,0.000384132
30,58.3016,0.94657,0.55578,0.94909,0.97458,0.99153,0.99406,0.72395,1.00667,0.48597,1.05228,0.000372351,0.000372351,0.000372351
31,60.0975,0.90549,0.51688,0.94689,0.97569,0.98956,0.99452,0.73049,0.99209,0.47498,1.03885,0.00036057,0.00036057,0.00036057
